2018-11-24 09:21:37 WARNING (MainThread) [homeassistant.components.http] legacy_api_password support has been enabled. If you don't require it, remove the 'api_password' from your http config.
2018-11-24 09:21:42 WARNING (MainThread) [homeassistant.loader] You are using a custom component for climate.broadlink which has not been tested by Home Assistant. This component might cause stability problems, be sure to disable it if you do experience issues with Home Assistant.
2018-11-24 09:21:42 ERROR (MainThread) [custom_components.climate.broadlink] The ini file was not found. (/config/broadlink_fan_codes/living_room_fan.ini)
2018-11-24 09:21:48 WARNING (MainThread) [homeassistant.components.sensor.template] Could not render template battery_iphone, the state is unknown.
2018-11-24 09:21:48 WARNING (MainThread) [homeassistant.components.sensor.template] Could not render template battery_iphone, the state is unknown.
2018-11-24 09:21:48 WARNING (MainThread) [homeassistant.core] Unable to find service hassio/addon_start
2018-11-24 09:28:22 WARNING (MainThread) [homeassistant.components.device_tracker.owntracks] Ignoring transition update because GPS accuracy is zero: {'_type': 'transition', 'tid': ' 8', 'acc': 0.0, 'desc': '-home', 'event': 'leave', 'lat': 0.0, 'lon': 0.0, 'tst': 1543026500, 'wtst': 1542355850, 't': 'b', 'topic': 'owntracks/luong/note 8/event'}
2018-11-24 09:30:45 WARNING (MainThread) [homeassistant.components.device_tracker.owntracks] Ignoring transition update because GPS accuracy is zero: {'_type': 'transition', 'tid': ' 8', 'acc': 0.0, 'desc': '-home', 'event': 'leave', 'lat': 0.0, 'lon': 0.0, 'tst': 1543026630, 'wtst': 1542355850, 't': 'b', 'topic': 'owntracks/luong/note 8/event'}
2018-11-24 09:32:42 WARNING (MainThread) [homeassistant.components.device_tracker.owntracks] Ignoring transition update because GPS accuracy is zero: {'_type': 'transition', 'tid': ' 8', 'acc': 0.0, 'desc': '-home', 'event': 'leave', 'lat': 0.0, 'lon': 0.0, 'tst': 1543026760, 'wtst': 1542355850, 't': 'b', 'topic': 'owntracks/luong/note 8/event'}
2018-11-24 09:34:52 WARNING (MainThread) [homeassistant.components.device_tracker.owntracks] Ignoring transition update because GPS accuracy is zero: {'_type': 'transition', 'tid': ' 8', 'acc': 0.0, 'desc': '-home', 'event': 'leave', 'lat': 0.0, 'lon': 0.0, 'tst': 1543026890, 'wtst': 1542355850, 't': 'b', 'topic': 'owntracks/luong/note 8/event'}
2018-11-24 09:37:23 WARNING (MainThread) [homeassistant.components.device_tracker.owntracks] Ignoring transition update because GPS accuracy is zero: {'_type': 'transition', 'tid': ' 8', 'acc': 0.0, 'desc': '-home', 'event': 'leave', 'lat': 0.0, 'lon': 0.0, 'tst': 1543027022, 'wtst': 1542355850, 't': 'b', 'topic': 'owntracks/luong/note 8/event'}
2018-11-24 09:39:12 WARNING (MainThread) [homeassistant.components.device_tracker.owntracks] Ignoring transition update because GPS accuracy is zero: {'_type': 'transition', 'tid': ' 8', 'acc': 0.0, 'desc': '-home', 'event': 'leave', 'lat': 0.0, 'lon': 0.0, 'tst': 1543027150, 'wtst': 1542355850, 't': 'b', 'topic': 'owntracks/luong/note 8/event'}
2018-11-24 09:41:28 WARNING (MainThread) [homeassistant.components.device_tracker.owntracks] Ignoring transition update because GPS accuracy is zero: {'_type': 'transition', 'tid': ' 8', 'acc': 0.0, 'desc': '-home', 'event': 'leave', 'lat': 0.0, 'lon': 0.0, 'tst': 1543027280, 'wtst': 1542355850, 't': 'b', 'topic': 'owntracks/luong/note 8/event'}
2018-11-24 09:43:32 WARNING (MainThread) [homeassistant.components.device_tracker.owntracks] Ignoring transition update because GPS accuracy is zero: {'_type': 'transition', 'tid': ' 8', 'acc': 0.0, 'desc': '-home', 'event': 'leave', 'lat': 0.0, 'lon': 0.0, 'tst': 1543027410, 'wtst': 1542355850, 't': 'b', 'topic': 'owntracks/luong/note 8/event'}
2018-11-24 09:46:00 WARNING (MainThread) [homeassistant.components.device_tracker.owntracks] Ignoring transition update because GPS accuracy is zero: {'_type': 'transition', 'tid': ' 8', 'acc': 0.0, 'desc': '-home', 'event': 'leave', 'lat': 0.0, 'lon': 0.0, 'tst': 1543027540, 'wtst': 1542355850, 't': 'b', 'topic': 'owntracks/luong/note 8/event'}
2018-11-24 09:47:52 WARNING (MainThread) [homeassistant.components.device_tracker.owntracks] Ignoring transition update because GPS accuracy is zero: {'_type': 'transition', 'tid': ' 8', 'acc': 0.0, 'desc': '-home', 'event': 'leave', 'lat': 0.0, 'lon': 0.0, 'tst': 1543027670, 'wtst': 1542355850, 't': 'b', 'topic': 'owntracks/luong/note 8/event'}
2018-11-24 09:50:02 WARNING (MainThread) [homeassistant.components.device_tracker.owntracks] Ignoring transition update because GPS accuracy is zero: {'_type': 'transition', 'tid': ' 8', 'acc': 0.0, 'desc': '-home', 'event': 'leave', 'lat': 0.0, 'lon': 0.0, 'tst': 1543027800, 'wtst': 1542355850, 't': 'b', 'topic': 'owntracks/luong/note 8/event'}
2018-11-24 09:52:20 WARNING (MainThread) [homeassistant.components.device_tracker.owntracks] Ignoring transition update because GPS accuracy is zero: {'_type': 'transition', 'tid': ' 8', 'acc': 0.0, 'desc': '-home', 'event': 'leave', 'lat': 0.0, 'lon': 0.0, 'tst': 1543027930, 'wtst': 1542355850, 't': 'b', 'topic': 'owntracks/luong/note 8/event'}
